CARDHLDR,DEFAULT,AADLINC,BANKSAV,BANKCH,BANKBOTH,AGE,ACADMOS,ACBINQ,CREDMAJR,CREDDEPT,CREDGAS,ACURTRD,ADEPCNT,AEMPMOS,PROF,UNEMP,MGT,MILITARY,CLERICAL,SALES,OTHERJOB,MAJORDRG,MINORDRG,OWNRENT,APADMOS,AMAMIND,INCOME,SELFEMPL,TRADACCT,INCPER,EXP_INC,EXPRATIO,CPTOPNB,CPTOPNG,CPT30C,CPTF30,CPTAVRV,CBURDEN,BUYPOWER,PCTCOLL,MEDAGE,MEDINC,PCTOWN,PCTBLACK,PCTSPAN,GROWTH,PCTEMPL,APPAREL,AUTO,BUILDMTL,DEPTSTOR,DRUGSTOR,EATDRINK,FURN,GAS 
0,0,3600,0,1,0,27.2500000,4,0,1,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,30,0,14400,0,0,18000,.0006667,1,2,0,0,0,3,16.7999992,.0168000,15.1999998,30.8999996,23714,29.5000000,11.3999996,5.9000001,10.6999998,95.1999969,1.8000000,1.1000000,.6000000,.2000000,.6000000,6.5000000,1.1000000,1.3000000 
0,0,6000,0,1,0,40.8333321,111,0,1,0,0,0,3,111,0,0,0,0,0,0,1,0,0,1,60,0,48000,0,0,13500,.0002222,1,9,1,0,2,1,4.5999999,.0132000,0,28.8999996,41794,0,3.4000001,2.8000000,.1000000,84.6999969,2.9000001,1.2000000,.9000000,.1000000,.9000000,6.4000001,1.8000000,1.6000000 
1,0,1200,0,1,0,37.6666679,54,0,1,0,0,12,3,132,0,0,0,0,0,0,1,0,0,1,36,0,44000,0,17,11300,.0332699,.2658249,10,4,0,0,3,8.1000004,.0132000,0,28.8999996,41794,0,3.4000001,2.8000000,.1000000,84.6999969,2.9000001,1.2000000,.9000000,.1000000,.9000000,6.4000001,1.8000000,1.6000000 
1,0,45000,0,1,0,42.5000000,60,0,1,0,0,13,3,66,1,0,0,0,0,0,0,0,0,1,120,0,24000,0,15,17250,.0484268,.1570118,12,5,0,0,1,1.4000000,.0191000,11.8000002,28.3999996,33203,62.2999992,8.5000000,2.9000001,-28.7000008,26.8999996,1.6000000,.9000000,.5000000,.1000000,.5000000,7.4000001,.9000000,1.6000000 
1,0,0,0,0,1,21.3333340,8,2,1,0,0,5,0,2,0,0,0,0,0,1,0,0,0,0,12,0,35000,0,5,35000,.0165229,3.7793391,5,0,0,0,3,39.4000015,.0191000,11.8000002,28.3999996,33203,62.2999992,8.5000000,2.9000001,-28.7000008,26.8999996,1.6000000,.9000000,.5000000,.1000000,.5000000,7.4000001,.9000000,1.6000000 
1,0,2500,0,0,1,20.8333340,78,0,1,0,0,7,1,4,0,0,0,0,0,1,0,0,0,0,24,0,21000,0,3,11750,.0313234,1.6289285,4,1,0,0,2,49,.0191000,11.8000002,28.3999996,33203,62.2999992,8.5000000,2.9000001,-28.7000008,26.8999996,1.6000000,.9000000,.5000000,.1000000,.5000000,7.4000001,.9000000,1.6000000 
1,0,10000,0,0,1,62.6666679,25,0,1,0,0,13,1,10,0,0,0,0,0,0,1,0,0,1,42,0,63000,0,15,36500,.0392690,.2947787,12,6,0,0,1,2.5000000,.0191000,11.8000002,28.3999996,33203,62.2999992,8.5000000,2.9000001,-28.7000008,26.8999996,1.6000000,.9000000,.5000000,.1000000,.5000000,7.4000001,.9000000,1.6000000 
1,0,25000,0,0,1,20.3333340,6,0,0,1,0,0,0,24,0,0,0,1,0,0,0,0,0,0,12,0,22000,0,0,47000,.0491421,1.0171877,0,0,0,0,2,100,.0191000,11.8000002,28.3999996,33203,62.2999992,8.5000000,2.9000001,-28.7000008,26.8999996,1.6000000,.9000000,.5000000,.1000000,.5000000,7.4000001,.9000000,1.6000000 
1,0,0,0,1,0,31.7500000,20,1,1,0,0,10,3,155,0,0,0,1,0,0,0,0,0,0,24,0,35032,0,11,8758,.0100488,13.0811996,11,5,0,0,14,81.9000015,.0191000,11.8000002,28.3999996,33203,62.2999992,8.5000000,2.9000001,-28.7000008,26.8999996,1.6000000,.9000000,.5000000,.1000000,.5000000,7.4000001,.9000000,1.6000000 
1,0,0,0,0,1,45.8333321,162,2,1,0,0,7,7,114,0,0,0,0,0,0,1,0,0,1,24,0,59000,0,7,7375,.0940781,.0408044,5,2,0,0,5,36.2999992,.0191000,11.8000002,28.3999996,33203,62.2999992,8.5000000,2.9000001,-28.7000008,26.8999996,1.6000000,.9000000,.5000000,.1000000,.5000000,7.4000001,.9000000,1.6000000 
