CARDHLDR,DEFAULT,BANKSAV,BANKCH,ACBINQ,ADEPCNT,PROF,MILITARY,CLERICAL,MAJORDRG,MINORDRG,OWNRENT,INCOME,SELFEMPL,TRADACCT,EXP_INC,EXPRATIO,CPTOPNB,CPTOPNG,CPT30C,CPTF30,CPTAVRV,CBURDEN
0,0,0,1,0,0,0,0,0,0,0,0,14400,0,0,0.0006667,1,2,0,0,0,3,16.7999992
0,0,0,1,0,3,0,0,0,0,0,1,48000,0,0,0.0002222,1,9,1,0,2,1,4.5999999
1,0,0,1,0,3,0,0,0,0,0,1,44000,0,17,0.0332699,0.2658249,10,4,0,0,3,8.1000004
1,0,0,1,0,3,1,0,0,0,0,1,24000,0,15,0.0484268,0.1570118,12,5,0,0,1,1.4
1,0,0,0,2,0,0,0,0,0,0,0,35000,0,5,0.0165229,3.7793391,5,0,0,0,3,39.4000015
1,0,0,0,0,1,0,0,0,0,0,0,21000,0,3,0.0313234,1.6289285,4,1,0,0,2,49
1,0,0,0,0,1,0,0,0,0,0,1,63000,0,15,0.039269,0.2947787,12,6,0,0,1,2.5
1,0,0,0,0,0,0,1,0,0,0,0,22000,0,0,0.0491421,1.0171877,0,0,0,0,2,100
1,0,0,1,1,3,0,1,0,0,0,0,35032,0,11,0.0100488,13.0811996,11,5,0,0,14,81.9000015
1,0,0,0,2,7,0,0,0,0,0,1,59000,0,7,0.0940781,0.0408044,5,2,0,0,5,36.2999992
1,0,0,0,2,1,0,1,0,0,1,0,28332,0,3,0.0233715,0.7288772,2,0,0,0,16,105
1,0,0,0,2,3,0,1,0,0,0,0,20000,0,15,0.0052169,0.3289474,18,6,0,0,7,42.4000015
1,0,0,0,0,0,0,0,0,0,0,0,18886,0,7,0.0034978,10.0100002,0,0,0,0,1,75.3000031
1,0,0,0,0,1,0,0,0,1,0,1,28000,0,9,0.0588668,16.7233334,8,5,0,0,1,7.6999998
1,0,0,0,0,2,0,0,0,0,0,1,61297,0,18,0.0276514,281.4916687,18,7,0,0,5,32.0999985
0,0,0,1,4,1,1,0,0,0,0,1,22380,0,1,0.0005362,1,3,0,0,0,12,100
1,1,0,1,2,1,0,1,0,0,0,0,29000,0,4,0.0417586,0.0679012,5,0,0,0,5,89.0999985
1,0,0,0,2,4,0,0,0,0,1,1,45000,0,5,0.0041556,0.815534,5,1,0,0,1,9.1999998
1,0,0,0,2,0,0,1,0,0,1,0,25400,0,9,0.0652138,0.8549049,19,5,0,0,3,31.3999996
1,0,0,0,0,3,0,0,0,0,0,1,40000,0,7,0.0587909,9.1262636,7,5,0,0,12,70.3000031
1,0,0,0,0,4,1,0,0,0,0,1,44000,0,4,0.0355259,1.0300519,5,3,0,0,2,15.1999998
0,0,0,0,2,2,0,0,0,0,0,1,19000,0,3,0.0006316,1,2,0,0,0,13,90.3000031
1,1,0,1,7,0,0,0,0,0,0,0,50000,0,1,0.0026642,3.7096775,0,0,0,0,5,47.7000008
1,0,0,0,2,0,0,0,1,0,1,1,14000,0,7,0.0079815,0.8497854,8,4,0,0,2,10.6999998
1,0,0,0,0,3,0,0,0,0,0,1,48000,0,9,0.0154268,0.6217949,5,5,0,0,1,3.5
1,0,0,0,0,2,0,0,0,0,0,1,97867,0,6,0.0670506,2.2182639,2,2,0,0,6,33.2999992
1,0,0,0,0,4,0,0,0,0,0,1,52000,0,18,0.0571438,0.9921992,19,9,0,0,11,53.7999992
1,0,0,1,1,0,0,0,1,0,0,1,15900,0,9,0.1919522,1.6866549,10,5,0,0,4,19.8999996
1,0,0,0,0,0,0,0,0,0,0,1,14400,0,1,0.1710745,0.5957568,1,1,0,0,13,84.3000031
1,0,0,0,2,0,0,0,0,0,0,0,38470,0,1,0.0717193,2.0419405,1,0,0,0,0,0
1,0,0,0,2,2,0,0,0,0,1,0,34800,0,10,0.5039468,2.0515659,14,2,0,0,11,69.5999985
1,0,0,1,0,0,0,0,0,0,0,1,26000,0,3,0.0376952,0.6055211,4,1,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,24000,0,9,0.0179729,14.4053564,9,6,0,0,9,71.9000015
1,0,0,0,0,2,0,0,0,0,0,0,32000,0,8,0.0105534,57.923336,6,2,0,0,2,39.7000008
1,0,0,0,0,2,0,0,0,0,1,1,18600,0,1,0.0600538,0.5322359,4,3,0,0,12,91.4000015
1,0,0,1,1,2,0,0,0,0,0,1,43200,0,9,0.0326178,0.8419477,6,0,0,0,4,46.5
1,0,0,0,1,4,0,0,0,0,1,1,70900,0,11,0.0068519,7.6749997,8,4,1,0,3,33.4000015
1,0,0,0,0,1,0,0,0,0,0,1,54600,0,3,0.026061,51.5688553,2,2,0,0,2,19.7000008
1,0,0,0,0,1,0,0,1,2,0,0,25400,0,3,0.0242036,0.8367899,1,1,0,0,15,87.9000015
1,0,0,0,0,2,0,0,0,0,0,1,27500,0,0,0.0261003,2.8921492,15,9,0,0,4,38.9000015
1,0,0,0,0,1,0,0,0,0,0,1,65000,1,0,0.0084331,0.0578622,30,11,0,0,4,16.3999996
1,0,0,0,0,2,0,1,0,0,1,0,18000,0,11,0.0278128,0.6414099,7,1,0,0,1,8.1999998
1,1,0,0,1,1,0,1,0,0,0,0,25120,0,4,0.0483758,0.0272189,6,1,0,0,2,27.8999996
1,0,1,0,0,2,0,1,0,0,0,0,12980,0,0,0.0154735,1.3983871,1,0,0,0,1,100
1,0,0,0,0,1,0,0,0,0,0,1,19200,0,3,0.100725,0.3963321,2,0,0,0,11,104.3000031
1,0,0,1,0,0,0,0,0,0,0,0,24000,0,1,0.0444384,1.0017297,1,1,0,0,1,28
0,0,0,0,1,2,0,0,0,0,0,0,15600,0,2,0.0005405,1,2,0,0,0,2,100
1,0,0,0,1,0,0,0,0,0,0,1,20000,0,7,0.0033,10,6,5,0,0,3,51.2000008
1,0,0,0,0,4,0,1,0,0,1,1,40000,0,8,0.042973,1.2827623,9,3,0,0,6,45.2999992
1,0,0,0,0,2,0,0,0,0,0,0,28800,0,5,0.0125758,0.3139842,4,2,0,0,2,15.6000004
1,0,0,0,0,3,0,0,1,1,0,1,40060,0,6,0.0414084,2.1886299,9,1,0,0,6,50.0999985
0,0,0,1,0,1,0,0,0,9,3,1,24300,0,12,0.0004396,1,19,9,0,5,5,47.4000015
1,0,0,0,0,0,0,0,0,0,0,0,38000,0,1,0.0388344,1.6385714,0,0,0,0,4,86.5
1,0,0,0,0,0,0,0,0,0,0,0,36000,1,11,0.0453878,0.3231911,1,0,0,0,6,49
1,0,0,1,0,0,0,0,0,0,0,1,15000,0,12,0.0219262,0.3525428,1,0,0,0,21,80.8000031
1,0,0,0,0,0,0,0,0,1,0,0,30000,0,3,0.0237303,10.6706553,2,1,0,0,6,29.2999992
0,0,0,0,2,1,0,0,0,1,0,0,28800,0,1,0.0003659,1,1,0,0,0,10,98.5999985
1,0,0,1,0,0,1,0,0,0,0,1,81000,0,0,0.0767034,0.7358891,9,5,0,0,7,42.2999992
1,0,0,0,0,0,0,0,0,0,0,0,25000,0,0,0.0764762,0.4192017,11,0,0,0,6,82.6999969
1,0,0,0,1,0,0,0,0,0,0,1,24000,0,6,0.0929871,0.5108162,1,0,0,0,5,67.0999985
1,0,0,0,0,0,1,0,0,0,0,1,25000,0,27,0.0529747,0.300481,16,8,0,1,1,0.2
1,0,0,0,0,3,0,0,0,0,0,1,28650,0,0,0.0993843,2.2728276,10,1,0,0,5,56.5999985
1,0,0,0,2,0,0,0,1,0,0,1,16182,0,16,0.1465962,75.5232239,10,4,0,0,4,44.9000015
1,0,0,1,0,0,0,0,0,0,0,1,37000,0,0,0.0369286,0.6683272,11,2,0,0,18,93.3000031
1,0,0,0,1,1,0,0,0,0,1,1,55000,0,22,0.027826,0.592539,22,12,0,0,5,43.2000008
1,0,0,0,2,3,0,0,0,0,0,1,39500,0,17,0.0235582,2.7073708,3,2,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,20000,1,5,0.0058,1.6851852,18,7,0,0,1,6.0999999
1,0,0,0,2,1,0,0,0,0,0,1,42000,0,16,0.1487871,2.4736297,6,2,0,0,12,93.0999985
1,0,0,1,1,2,0,0,0,0,0,1,38000,0,8,0.0252295,1.0529336,3,0,0,0,2,73.5999985
1,0,0,0,0,1,0,0,1,0,0,0,22000,0,0,0.0753976,1.6436745,9,3,0,0,11,83.5999985
1,1,0,0,0,0,0,0,1,0,0,0,18400,0,0,0.0558087,0.0521311,2,0,0,0,3,133
1,0,0,0,0,1,0,0,0,0,0,0,19800,0,0,0.0953847,1.5964637,5,1,0,0,5,50.5999985
0,0,0,1,1,0,0,0,0,9,0,1,18900,0,5,0.0005607,1,1,0,0,2,9,145.5
0,0,0,1,0,0,0,0,0,0,0,1,22000,1,0,0.0003871,1,8,2,1,1,1,26.2000008
1,1,0,0,0,2,0,0,0,0,0,1,23400,0,0,0.0234594,0.3227711,7,0,0,0,2,17.2999992
